98,1,35.80,55.00,,2024-05-12 18:42:40.025594
99,1,35.80,55.00,,2024-05-12 18:42:45.096487
100,1,35.80,55.00,,2024-05-12 18:42:50.204132
101,1,35.80,55.00,,2024-05-12 18:42:55.290186
102,1,35.80,55.00,,2024-05-12 18:43:00.376956
103,1,35.90,55.00,,2024-05-12 18:43:05.449824
104,1,35.90,55.00,,2024-05-12 18:43:10.52893
105,1,35.90,55.00,,2024-05-12 18:43:15.605188
106,1,35.90,55.00,,2024-05-12 18:43:20.731869
107,1,33.50,63.00,,2024-05-12 19:52:06.495127
108,1,33.90,63.00,,2024-05-12 19:52:11.970247
109,1,34.10,63.00,,2024-05-12 19:52:17.067083
110,1,34.30,63.00,,2024-05-12 19:52:22.150073
111,1,34.40,63.00,,2024-05-12 19:52:27.276529
112,1,34.60,63.00,,2024-05-12 19:52:32.370947
113,1,34.70,62.00,,2024-05-12 19:52:37.455342
114,1,34.80,62.00,,2024-05-12 19:52:42.568904
115,1,34.90,61.00,,2024-05-12 19:52:47.641989
116,1,34.90,61.00,,2024-05-12 19:52:52.75428
117,1,35.00,60.00,,2024-05-12 19:52:57.850224
118,1,35.10,60.00,,2024-05-12 19:53:02.959059
119,1,35.10,60.00,,2024-05-12 19:53:08.028015
120,1,35.20,59.00,,2024-05-12 19:53:13.098529
121,1,35.20,59.00,,2024-05-12 19:53:18.172185
